pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
313;1;1;1;A;1;612651.49965;5729600.62852;40370.4;t
314;1;1;1;A;1;612653.92307;5729603.25224;40370.6;f
315;1;1;1;A;1;612656.41795;5729605.76619;40370.8;f
316;1;1;1;A;1;612659.17223;5729608.17488;40371;f
317;1;1;1;A;1;612662.01991;5729610.3736;40371.2;f
318;1;1;1;A;1;612664.87447;5729612.55126;40371.4;f
319;1;1;1;A;1;612667.79392;5729614.62976;40371.6;f
320;1;1;1;A;1;612670.65765;5729616.69646;40371.8;f
321;1;1;1;A;1;612673.5796;5729618.66377;40372;f
322;1;1;1;A;1;612676.50834;5729620.62066;40372.2;f
323;1;1;1;A;1;612679.43708;5729622.57756;40372.4;f
324;1;1;1;A;1;612682.30328;5729624.53307;40372.6;f
325;1;1;1;A;1;612685.09576;5729626.68824;40372.8;f
326;1;1;1;A;1;612687.87908;5729628.9651;40373;f
327;1;1;1;A;1;612690.66004;5729631.3533;40373.2;f
328;1;1;1;A;1;612693.44053;5729633.75185;40373.4;f
329;1;1;1;A;1;612696.21887;5729636.25113;40373.6;f
330;1;1;1;A;1;612698.93445;5729638.75959;40373.8;f
331;1;1;1;A;1;612701.64122;5729641.36856;40374;f
332;1;1;1;A;1;612704.34999;5729643.88743;40374.2;f
333;1;1;1;A;1;612707.12604;5729646.19585;40374.4;f
334;1;1;1;A;1;612709.90461;5729648.6846;40374.6;f
335;1;1;1;A;1;612712.74961;5729650.99446;40374.8;f
336;1;1;1;A;1;612715.53697;5729653.38269;40375;f
337;1;1;1;A;1;612718.19036;5729655.87931;40375.2;f
338;1;1;1;A;1;612720.70511;5729658.3832;40375.4;f
339;1;1;1;A;1;612723.20681;5729660.88688;40375.6;f
340;1;1;1;A;1;612725.64375;5729663.48982;40375.8;f
341;1;1;1;A;1;612728.19894;5729666.10597;40376;f
342;1;1;1;A;1;612730.76726;5729668.72242;40376.2;f
343;1;1;1;A;1;612733.20827;5729671.43672;40376.4;f
344;1;1;1;A;1;612735.63816;5729674.06065;40376.6;f
345;1;1;1;A;1;612737.93862;5729676.87237;40376.8;f
346;1;1;1;A;1;612740.1653;5729679.60301;40377;f
347;1;1;1;A;1;612742.32099;5729682.42232;40377.2;f
348;1;1;1;A;1;612744.46743;5729685.35244;40377.4;f
349;1;1;1;A;1;612746.68073;5729688.09336;40377.6;f
350;1;1;1;A;1;612748.96586;5729690.71406;40377.8;f
351;1;1;1;A;1;612751.38283;5729693.32714;40378;f
352;1;1;1;A;1;612753.81519;5729695.83987;40378.2;f
353;1;1;1;A;1;612756.37496;5729698.24409;40378.4;f
354;1;1;1;A;1;612759.0131;5729700.539;40378.6;f
355;1;1;1;A;1;612761.7181;5729702.92532;40378.8;f
356;1;1;1;A;1;612764.49654;5729705.12259;40379;f
357;1;1;1;A;1;612767.34456;5729707.30027;40379.2;f
358;1;1;1;A;1;612770.39121;5729709.28102;40379.4;f
359;1;1;1;A;1;612773.39778;5729711.13904;40379.6;f
360;1;1;1;A;1;612776.5253;5729712.8885;40379.8;f
361;1;1;1;A;1;612779.73096;5729714.52845;40380;f
362;1;1;1;A;1;612783.07298;5729715.9595;40380.2;f
363;1;1;1;A;1;612786.42845;5729717.36964;40380.4;f
364;1;1;1;A;1;612789.78196;5729718.88053;40380.6;f
365;1;1;1;A;1;612793.07244;5729720.40048;40380.8;f
366;1;1;1;A;1;612796.29395;5729721.91895;40381;f
367;1;1;1;A;1;612799.44413;5729723.5365;40381.2;f
368;1;1;1;A;1;612802.5875;5729725.16449;40381.4;f
369;1;1;1;A;1;612805.6661;5729726.8917;40381.6;f
370;1;1;1;A;1;612808.73549;5729728.7299;40381.8;f
371;1;1;1;A;1;612811.67763;5729730.67667;40382;f
372;1;1;1;A;1;612814.54375;5729732.63226;40382.2;f
373;1;1;1;A;1;612817.33613;5729734.78745;40382.4;f
374;1;1;1;A;1;612819.9943;5729737.06156;40382.6;f
375;1;1;1;A;1;612822.4493;5729739.44241;40382.8;t
376;1;1;1;A;1;612824.75705;5729741.93122;40383;f
377;1;1;1;A;1;612826.98663;5729744.52955;40383.2;f
378;1;1;1;A;1;612829.08438;5729747.13553;40383.4;f
379;1;1;1;A;1;612831.16671;5729749.84183;40383.6;f
380;1;1;1;A;1;612833.24871;5729752.55859;40383.8;f
381;1;1;1;A;1;612835.33089;5729755.27559;40384;f
382;1;1;1;A;1;612837.35048;5729757.9911;40384.2;f
383;1;1;1;A;1;612839.24062;5729760.60291;40384.4;f
384;1;1;1;A;1;612840.99065;5729763.30176;40384.6;f
385;1;1;1;A;1;612842.66477;5729766.00952;40384.8;f
386;1;1;1;A;1;612844.20504;5729768.81495;40385;f
387;1;1;1;A;1;612845.79441;5729771.63208;40385.2;f
388;1;1;1;A;1;612847.51764;5729774.35154;40385.4;f
389;1;1;1;A;1;612849.25427;5729777.06071;40385.6;f
390;1;1;1;A;1;612851.11807;5729779.67194;40385.8;f
391;1;1;1;A;1;612853.05561;5729782.37498;40386;f
392;1;1;1;A;1;612854.99959;5729785.08891;40386.2;f
393;1;1;1;A;1;612856.88089;5729787.80121;40386.4;f
394;1;1;1;A;1;612858.81593;5729790.61546;40386.6;f
395;1;1;1;A;1;612860.81983;5729793.44188;40386.8;f
396;1;1;1;A;1;612862.89057;5729796.37045;40387;f
397;1;1;1;A;1;612865.09716;5729799.11134;40387.2;f
398;1;1;1;A;1;612867.37765;5729801.93335;40387.4;f
399;1;1;1;A;1;612869.72925;5729804.66689;40387.6;f
400;1;1;1;A;1;612872.15005;5729807.39125;40387.8;f
401;1;1;1;A;1;612874.57754;5729810.11588;40388;f
402;1;1;1;A;1;612877.12791;5729812.94405;40388.2;f
403;1;1;1;A;1;612879.75574;5729815.68367;40388.4;f
404;1;1;1;A;1;612882.4575;5729818.21313;40388.6;f
405;1;1;1;A;1;612885.10157;5729820.82075;40388.8;f
406;1;1;1;A;1;612887.67406;5729823.53803;40389;f
407;1;1;1;A;1;612890.17722;5729826.26437;40389.2;f
408;1;1;1;A;1;612892.48393;5729829.08684;40389.4;f
409;1;1;1;A;1;612894.70833;5729831.91832;40389.6;f
410;1;1;1;A;1;612896.86346;5729834.74802;40389.8;f
411;1;1;1;A;1;612899.01207;5729837.57768;40390;f
412;1;1;1;A;1;612901.22554;5729840.30828;40390.2;f
413;1;1;1;A;1;612903.4434;5729843.12878;40390.4;f
414;1;1;1;A;1;612905.66335;5729845.85939;40390.6;f
415;1;1;1;A;1;612907.81879;5729848.6786;40390.8;f
416;1;1;1;A;1;612909.84241;5729851.50547;40391;f
417;1;1;1;A;1;612911.72559;5729854.42985;40391.2;f
418;1;1;1;A;1;612913.65776;5729857.36582;40391.4;f
419;1;1;1;A;1;612915.59893;5729860.20158;40391.6;f
420;1;1;1;A;1;612917.47544;5729863.1257;40391.8;f
421;1;1;1;A;1;612919.28269;5729866.05898;40392;f
422;1;1;1;A;1;612921.0186;5729869.09132;40392.2;f
423;1;1;1;A;1;612922.74994;5729872.03354;40392.4;f
424;1;1;1;A;1;612924.544;5729874.96655;40392.6;f
